Aptiv Cisco:guide|192,192,48,145,48,145,48,48,48,145,48,145,48,48,48,145,48,145,48,48,48,48,48,48,48,48,48,48,48,145,48,48,48,48,48,145,48,48,48,48,48,145,48,145,48,145,48,5707|null
Aptiv Cisco:settings|192,193,48,146,48,146,48,48,48,146,48,146,48,146,48,48,48,48,48,146,48,146,48,146,48,48,48,48,48,146,48,48,48,48,48,48,48,146,48,146,48,48,48,48,48,48,48,5733|null
Aptiv Cisco:info|192,193,48,146,48,146,48,48,48,146,48,146,48,48,48,48,48,48,48,146,48,48,48,48,48,48,48,48,48,146,48,48,48,48,48,146,48,146,48,146,48,48,48,146,48,146,48,5733|null
Aptiv Cisco:power|192,193,48,146,48,146,48,48,48,146,48,146,48,146,48,146,48,146,48,48,48,48,48,48,48,48,48,48,48,146,48,48,48,48,48,48,48,48,48,48,48,146,48,146,48,146,48,5733|null
Aptiv Cisco:videosource|192,192,48,145,48,145,48,48,48,145,48,145,48,145,48,48,48,145,48,145,48,48,48,48,48,48,48,48,48,145,48,48,48,48,48,48,48,145,48,48,48,48,48,145,48,145,48,5707|null

BlackMux:arrowup|342,170,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,21,22,63,22,21,22,63,22,21,22,21,21,64,22,21,21,64,22,21,21,64,22,21,21,64,22,63,22,21,22,4878|null
BlackMux:esc|342,170,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,21,21,64,22,63,22,21,22,63,22,21,22,21,21,64,22,63,22,21,22,21,21,64,22,21,21,64,22,63,22,21,22,4878|null
BlackMux:mult|342,170,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,21,21,21,22,64,21,21,22,21,22,21,21,21,22,64,21,64,22,63,22,21,22,63,22,64,21,64,22,63,22,21,22,4878|null
BlackMux:barslashbarbar|342,170,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,21,22,4878|null
BlackMux:shift|341,171,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,21,22,21,22,63,22,21,22,63,22,21,22,21,21,64,22,63,22,64,21,21,22,64,21,21,22,64,21,64,22,21,21,4878|null
BlackMux:next|342,170,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,21,21,21,22,21,22,21,21,21,22,64,21,21,22,21,22,63,22,64,21,64,22,63,22,64,21,21,22,4878|null
BlackMux:previous|342,170,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,21,21,21,22,21,22,21,21,64,22,21,21,21,22,64,21,64,22,63,22,64,21,64,22,21,21,64,22,63,22,21,22,4878|null
BlackMux:playpause|342,170,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,21,21,64,22,21,21,21,22,21,22,21,21,21,22,64,21,64,22,21,21,64,22,63,22,64,21,64,22,63,22,21,22,4878|null
BlackMux:forward|342,170,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,21,21,21,22,64,21,64,22,21,21,21,22,21,22,63,22,64,21,64,22,21,21,21,22,64,21,64,22,63,22,21,22,4878|null
BlackMux:fastplay|342,170,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,21,22,21,21,64,22,63,22,64,21,21,22,21,22,63,22,64,21,64,22,21,21,21,22,21,22,63,22,64,21,21,22,4878|null
BlackMux:reverseplaypause|342,170,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,21,21,21,22,21,22,63,22,64,21,21,22,21,22,63,22,64,21,64,22,63,22,21,22,21,21,64,22,63,22,21,22,4878|null
BlackMux:rec|341,171,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,21,22,21,21,64,22,21,21,21,22,64,21,21,22,21,22,63,22,64,21,21,22,64,21,64,22,21,21,4878|null
BlackMux:fn|342,170,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,21,22,21,22,21,21,64,22,21,21,21,22,64,21,21,22,64,21,64,22,63,22,21,22,63,22,64,21,21,22,4878|null
BlackMux:power|341,171,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,21,22,21,22,21,21,64,22,21,21,21,22,21,22,63,22,64,21,64,22,63,22,21,22,63,22,64,21,64,22,21,21,1516,341,85,22,3776|null
BlackMux:add|341,171,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,21,22,64,21,21,22,21,22,63,22,21,22,21,21,21,22,64,21,21,22,64,21,64,22,21,21,1516,341,85,22,3776|null
BlackMux:fastplay|342,170,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,21,21,21,22,64,21,64,22,21,21,21,22,21,22,63,22,64,21,64,22,21,21,21,22,64,21,64,22,63,22,21,22,1515,342,85,21,3776|null
BlackMux:arrowdown|341,171,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,21,22,64,21,21,22,64,21,64,22,21,21,21,22,64,21,64,22,21,21,64,22,21,21,21,22,64,21,64,22,21,21,1516,341,85,22,3776|null
BlackMux:arrowleft|342,170,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,21,22,64,21,64,22,21,21,21,22,64,21,21,22,21,22,63,22,21,22,21,21,64,22,63,22,21,22,1515,342,85,21,3776|null
BlackMux:arrowright|341,171,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,21,22,63,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,21,21,21,22,64,21,64,22,21,21,21,22,64,21,21,22,64,21,64,22,21,21,21,22,64,21,64,22,21,21,1516,341,85,22,3776|null
BlackMux:enter|342,170,22,21,21,21,22,21,22,21,21,21,22,21,22,21,21,21,22,64,21,64,22,63,22,64,21,64,22,63,22,64,21,64,22,21,21,64,22,63,22,64,21,64,22,21,21,21,22,64,21,64,22,21,21,21,22,21,22,21,21,64,22,63,22,21,22,4833|null
